"from","to","interval","rep","Tmax","strength"
"s1","s2",6.92015349962354,19,300,0.5
"s1","s2",6.94881534461234,19,300,0.5
"s1","s2",6.03988741403555,19,300,0.5
"s1","s2",6.72609979532558,19,300,0.5
"s1","s2",7.20777922135413,19,300,0.5
"s1","s2",6.44765803203049,19,300,0.5
"s1","s2",6.9289062320657,19,300,0.5
"s1","s2",6.81482597264224,19,300,0.5
"s1","s2",6.42563803892174,19,300,0.5
"s1","s2",6.82393016232283,19,300,0.5
"s1","s2",6.55907288896555,19,300,0.5
"s1","s2",6.73324009411389,19,300,0.5
"s1","s2",6.66325698214928,19,300,0.5
"s1","s2",7.03288692863321,19,300,0.5
"s1","s2",6.14333466424176,19,300,0.5
"s1","s2",7.01913540910544,19,300,0.5
"s1","s2",6.48709745436966,19,300,0.5
"s1","s2",6.60724495558566,19,300,0.5
"s1","s2",6.70823737171584,19,300,0.5
"s1","s2",6.32886917816382,19,300,0.5
"s1","s2",6.49937992638658,19,300,0.5
"s1","s2",6.66649867536583,19,300,0.5
"s1","s2",6.58523064503071,19,300,0.5
"s1","s2",6.09254994259648,19,300,0.5
"s1","s2",6.7894603681568,19,300,0.5
"s1","s2",6.96510038537868,19,300,0.5
"s1","s2",6.5335839204527,19,300,0.5
"s1","s2",6.81623120605134,19,300,0.5
"s1","s2",7.02241923182969,19,300,0.5
"s1","s2",6.12213880907368,19,300,0.5
"s1","s2",6.92725118018711,19,300,0.5
"s1","s2",6.17532633470496,19,300,0.5
"s1","s2",6.90398146917257,19,300,0.5
"s1","s2",6.86566366801505,19,300,0.5
"s1","s2",6.65120441802244,19,300,0.5
"s1","s2",7.20011670737149,19,300,0.5
"s1","s2",7.04000018714058,19,300,0.5
"s1","s2",6.74819905589496,19,300,0.5
"s1","s2",6.94687111738014,19,300,0.5
"s1","s2",6.16655917942759,19,300,0.5
"s1","s2",6.40390595610149,19,300,0.5
"s1","s2",6.31320203701642,19,300,0.5
"s1","s2",6.43345568264951,19,300,0.5
"s1","s2",6.54504681774786,19,300,0.5
"s1","s2",6.75776831930781,19,300,0.5
"s1","s2",6.58835313019403,19,300,0.5
"s1","s2",6.90605301633681,19,300,0.5
"s1","s2",6.5689789328007,19,300,0.5
"s1","s2",6.69369136116754,19,300,0.5
"s1","s2",6.67208234960634,19,300,0.5
"s1","s2",6.83401664228807,19,300,0.5
"s1","s2",6.51073329454599,19,300,0.5
"s1","s2",6.72998030669681,19,300,0.5
"s1","s2",6.75098066997332,19,300,0.5
"s1","s2",6.45199435102167,19,300,0.5
"s1","s2",6.67163664846136,19,300,0.5
"s1","s2",6.93535851837031,19,300,0.5
"s1","s2",6.33102451034469,19,300,0.5
"s1","s2",6.64452711914547,19,300,0.5
"s1","s2",6.87882895533192,19,300,0.5
"s1","s2",6.61899542375667,19,300,0.5
"s1","s2",6.67387189918197,19,300,0.5
"s1","s2",6.71000059764729,19,300,0.5
"s1","s2",6.77952373156357,19,300,0.5
"s1","s2",6.77209812057382,19,300,0.5
"s1","s2",6.21771114426791,19,300,0.5
"s1","s2",6.41070777616593,19,300,0.5
"s1","s2",6.4410515874526,19,300,0.5
"s1","s2",6.81647732390321,19,300,0.5
"s1","s2",6.49693086045895,19,300,0.5
"s1","s2",6.64412418901509,19,300,0.5
"s1","s2",6.76411751821453,19,300,0.5
"s1","s2",6.98647912690657,19,300,0.5
"s1","s2",6.12114978269577,19,300,0.5
"s1","s2",6.56432698453787,19,300,0.5
"s1","s2",6.9450691200289,19,300,0.5
"s1","s2",6.70800569763048,19,300,0.5
"s1","s2",6.37320303343901,19,300,0.5
"s1","s2",6.57158088504299,19,300,0.5
"s1","s2",6.37040496096282,19,300,0.5
"s1","s2",7.017808811907,19,300,0.5
"s1","s2",6.41278846963331,19,300,0.5
"s1","s2",6.88255646912785,19,300,0.5
"s1","s2",6.94763758599447,19,300,0.5
"s1","s2",6.50189940450193,19,300,0.5
"s1","s2",6.89560998372247,19,300,0.5
"s1","s2",6.8294516963319,19,300,0.5
"s1","s2",6.62551686776081,19,300,0.5
"s1","s2",6.4498028287332,19,300,0.5
"s1","s2",6.71970817909897,19,300,0.5
"s1","s2",6.55252129179135,19,300,0.5
"s1","s2",6.54398224976768,19,300,0.5
"s1","s2",6.98156402935896,19,300,0.5
"s1","s2",6.59038191921556,19,300,0.5
"s1","s2",6.69058888954352,19,300,0.5
"s1","s2",6.40665672902642,19,300,0.5
"s1","s2",7.1753202501755,19,300,0.5
"s1","s2",7.09338242130802,19,300,0.5
"s1","s2",6.54089513248416,19,300,0.5
"s1","s2",6.54992381162064,19,300,0.5
"s1","s2",7.04164084776184,19,300,0.5
"s1","s2",6.46045247786017,19,300,0.5
"s1","s2",5.79301274208612,19,300,0.5
"s1","s2",6.68406406499832,19,300,0.5
"s1","s2",7.31058795320928,19,300,0.5
"s1","s2",6.89396977335389,19,300,0.5
"s1","s2",6.64412418901509,19,300,0.5
"s1","s2",7.27222375611822,19,300,0.5
"s1","s2",7.10893278131584,19,300,0.5
"s1","s2",7.62056480952683,19,300,0.5
"s1","s2",7.55709362153993,19,300,0.5
"s1","s2",6.73050771796161,19,300,0.5
"s1","s2",6.88139464824453,19,300,0.5
"s1","s2",6.61730434717188,19,300,0.5
"s1","s2",6.75888995369067,19,300,0.5
"s1","s2",6.4353963377854,19,300,0.5
"s1","s2",6.52528085702512,19,300,0.5
"s1","s2",6.46803287113066,19,300,0.5
"s1","s2",6.75776852689697,19,300,0.5
