"from","to","pval","rep","Tmax","strength","effect"
"s1","s2",0.336,1,20,0.01,0.10821628662643
"s1","s3",0.022,1,20,0.01,-1.82716832481407
"s1","s4",0.057,1,20,0.01,-1.52275073531302
"s1","s5",0.035,1,20,0.01,1.2151833831068
"s2","s1",0.451,1,20,0.01,-0.0989265701639903
"s2","s3",0.158,1,20,0.01,0.4038441779746
"s2","s4",0.345,1,20,0.01,0.2231677377031
"s2","s5",0.266,1,20,0.01,-0.58134229220873
"s3","s1",0.014,1,20,0.01,1.3162833422484
"s3","s2",0.463,1,20,0.01,-0.0850677046151298
"s3","s4",0.141,1,20,0.01,-0.82067819756892
"s3","s5",0.241,1,20,0.01,0.774835494789611
"s4","s1",0.385,1,20,0.01,0.37538014875354
"s4","s2",0.129,1,20,0.01,-1.10115192610056
"s4","s3",0.224,1,20,0.01,0.42756321306485
"s4","s5",0.206,1,20,0.01,0.31582925867464
"s5","s1",0.335,1,20,0.01,-0.33873103189354
"s5","s2",0.37,1,20,0.01,0.25169143342037
"s5","s3",0.47,1,20,0.01,0.0376318975395504
"s5","s4",0.43,1,20,0.01,-0.12224174896096
"s1","s2",0.388,2,20,0.01,-0.193175184901
"s1","s3",0.014,2,20,0.01,2.02730844946348
"s1","s4",0.234,2,20,0.01,0.7202037581429
"s1","s5",0.266,2,20,0.01,0.855942672039991
"s2","s1",0.458,2,20,0.01,0.121283546817311
"s2","s3",0.316,2,20,0.01,-0.34152537724941
"s2","s4",0.135,2,20,0.01,1.26714091784422
"s2","s5",0.382,2,20,0.01,0.32782209305328
"s3","s1",0.053,2,20,0.01,-0.99885489244507
"s3","s2",0.379,2,20,0.01,0.0892935491463196
"s3","s4",0.476,2,20,0.01,-0.0451593589528798
"s3","s5",0.252,2,20,0.01,0.40845136478202
"s4","s1",0.201,2,20,0.01,1.17864288943434
"s4","s2",0.089,2,20,0.01,-0.84125721051446
"s4","s3",0.405,2,20,0.01,0.46690913288263
"s4","s5",0.107,2,20,0.01,-0.92005958637186
"s5","s1",0.47,2,20,0.01,0.05317508470901
"s5","s2",0.383,2,20,0.01,-0.16567989647737
"s5","s3",0.421,2,20,0.01,0.0815774141710102
"s5","s4",0.276,2,20,0.01,0.911633282756201
"s1","s2",0.006,3,20,0.01,-1.73013260858601
